"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mpst",8.73472499363649e-32,0.351496567591981,0.41,0.243,1.30147402405184e-27,"2","Mpst"
"Igsf8",1.44738751425453e-31,0.353511672090404,0.302,0.155,2.15660739623924e-27,"2","Igsf8"
"Gle1",2.64740601807064e-31,0.389221455783255,0.364,0.209,3.94463496692526e-27,"2","Gle1"
"mt-Co31",3.10022614981967e-31,0.25982552021797,0.951,0.882,4.61933696323131e-27,"2","mt-Co3"
"Agpat2",3.5661441469558e-31,0.300284298214081,0.302,0.151,5.31355477896414e-27,"2","Agpat2"
"Tpi1",3.81306374463895e-31,0.336640518258793,0.664,0.5,5.68146497951204e-27,"2","Tpi1"
"Tm9sf3",4.58278679215658e-31,0.402071284695804,0.515,0.36,6.8283523203133e-27,"2","Tm9sf3"
"Cyhr1",5.03133123473166e-31,0.316558840113416,0.291,0.142,7.49668353975017e-27,"2","Cyhr1"
"Shisa51",5.25312641084059e-31,0.309774487011596,0.666,0.499,7.82715835215248e-27,"2","Shisa5"
"Sh3glb21",6.47229677235274e-31,0.374610994555926,0.369,0.216,9.64372219080558e-27,"2","Sh3glb2"
"Pacsin3",7.98769798611307e-31,0.32319991296521,0.271,0.131,1.19016699993085e-26,"2","Pacsin3"
"Mtfr1l",1.49058159915096e-30,0.329455447653609,0.398,0.238,2.22096658273494e-26,"2","Mtfr1l"
"Snx6",3.59137932654197e-30,0.360934332279359,0.469,0.31,5.35115519654753e-26,"2","Snx6"
"H2afj",4.16588809796359e-30,0.329875756180324,0.627,0.455,6.20717326596576e-26,"2","H2afj"
"Desi1",4.49940180364592e-30,0.370574057864956,0.298,0.157,6.70410868743242e-26,"2","Desi1"
"Aig1",8.40069475902781e-30,0.339038615054334,0.426,0.265,1.25170351909514e-25,"2","Aig1"
"Zfp664",9.20267301491808e-30,0.339207621424042,0.33,0.182,1.37119827922279e-25,"2","Zfp664"
"Fam173a",1.20147980292117e-29,0.357179112819785,0.533,0.378,1.79020490635254e-25,"2","Fam173a"
"Tmed2",1.49918898397396e-29,0.258905915496479,0.894,0.797,2.2337915861212e-25,"2","Tmed2"
"0610009B22Rik",2.12722389284666e-29,0.350263335769213,0.353,0.203,3.16956360034152e-25,"2","0610009B22Rik"
"Gtf2h51",2.33481646505238e-29,0.348104821934849,0.615,0.458,3.47887653292804e-25,"2","Gtf2h5"
"Arrdc11",2.55263740799694e-29,0.326627255189007,0.337,0.186,3.80342973791544e-25,"2","Arrdc1"
"Sumo1",3.23452149172978e-29,0.300789407834491,0.787,0.687,4.81943702267737e-25,"2","Sumo1"
"Cox5a1",6.93938704152193e-29,0.265760969618167,0.833,0.666,1.03396866918677e-24,"2","Cox5a"
"Tsta3",8.87315063853962e-29,0.335679432647878,0.402,0.248,1.3220994451424e-24,"2","Tsta3"
"Plk21",2.14035382459321e-28,0.450332602392822,0.514,0.362,3.18912719864388e-24,"2","Plk2"
"Cttn",2.18900641765419e-28,0.32105521840419,0.506,0.349,3.26161956230474e-24,"2","Cttn"
"Prdx3",2.34225016590883e-28,0.360024473867773,0.432,0.284,3.48995274720416e-24,"2","Prdx3"
"Aurkaip1",6.84661192371706e-28,0.34013373782828,0.477,0.321,1.02014517663384e-23,"2","Aurkaip1"
"Bcap31",7.60729705347998e-28,0.276400911957783,0.791,0.672,1.13348726096852e-23,"2","Bcap31"
"Tspan31",7.77547330053956e-28,0.3294852930094,0.531,0.377,1.1585455217804e-23,"2","Tspan31"
"Gipc1",1.00653374900279e-27,0.340643903702948,0.423,0.269,1.49973528601416e-23,"2","Gipc1"
"Apoa1bp",1.27971773107153e-27,0.327614289102859,0.603,0.455,1.90677941929658e-23,"2","Apoa1bp"
"Slc25a171",3.64853705861684e-27,0.306870604729408,0.576,0.41,5.43632021733909e-23,"2","Slc25a17"
"Acot8",1.00141912679431e-26,0.32998035844793,0.299,0.164,1.49211449892352e-22,"2","Acot8"
"Uqcc3",1.07504378186419e-26,0.334033879150329,0.441,0.294,1.60181523497764e-22,"2","Uqcc3"
"P2rx4",1.38451847867968e-26,0.315882340000847,0.31,0.171,2.06293253323273e-22,"2","P2rx4"
"Ghitm",1.63223316142973e-26,0.317610121972318,0.569,0.421,2.43202741053029e-22,"2","Ghitm"
"Slc9a3r1",1.7215081801647e-26,0.295538974570444,0.505,0.337,2.56504718844541e-22,"2","Slc9a3r1"
"Arfgap2",1.9895541162835e-26,0.319896639285899,0.338,0.197,2.96443563326242e-22,"2","Arfgap2"
"Fdx1",2.18582254370565e-26,0.334621633671791,0.512,0.36,3.25687559012142e-22,"2","Fdx1"
"Zfand1",2.50326866067532e-26,0.327488986796599,0.352,0.209,3.72987030440623e-22,"2","Zfand1"
"Taf6l",3.40491078599497e-26,0.371016990924043,0.355,0.215,5.0733170711325e-22,"2","Taf6l"
"Ccdc12",3.49338512040817e-26,0.327721890152653,0.502,0.355,5.20514382940817e-22,"2","Ccdc12"
"Tmem208",3.71904935222357e-26,0.34139680170506,0.517,0.363,5.54138353481312e-22,"2","Tmem208"
"Cbr11",7.06543159613988e-26,0.310187844987208,0.48,0.327,1.05274930782484e-21,"2","Cbr1"
"Sox9",7.34240458384899e-26,0.458541825163241,0.457,0.317,1.0940182829935e-21,"2","Sox9"
"Pkig1",9.26859450939054e-26,0.305670981424164,0.61,0.441,1.38102058189919e-21,"2","Pkig"
"Alad1",9.68430853307844e-26,0.289204961657917,0.49,0.335,1.44296197142869e-21,"2","Alad"
"Sys11",1.00816791382846e-25,0.355084799336024,0.505,0.366,1.5021701916044e-21,"2","Sys1"
"Ufc1",1.08838971834262e-25,0.321451246449446,0.504,0.358,1.62170068033051e-21,"2","Ufc1"
"Skap2",1.09376946333954e-25,0.309879081404973,0.256,0.132,1.62971650037591e-21,"2","Skap2"
"Hmox2",1.34683157610493e-25,0.281014240704406,0.435,0.285,2.00677904839634e-21,"2","Hmox2"
"Irx3",2.91011900724281e-25,0.422278610446266,0.414,0.268,4.33607732079179e-21,"2","Irx3"
"B4galnt11",3.54525697042043e-25,0.338639860723364,0.334,0.195,5.28243288592644e-21,"2","B4galnt1"
"Capg1",3.59443005915095e-25,0.331094827972603,0.543,0.387,5.35570078813491e-21,"2","Capg"
"Ddt",5.60944429049914e-25,0.31220859674865,0.34,0.203,8.35807199284371e-21,"2","Ddt"
"Tmem50a1",6.1167978186247e-25,0.288503341818747,0.719,0.588,9.1140287497508e-21,"2","Tmem50a"
"Trappc4",7.99967810320059e-25,0.337363734607416,0.468,0.329,1.19195203737689e-20,"2","Trappc4"
"Pdrg1",8.05745160762838e-25,0.301646920494342,0.356,0.215,1.20056028953663e-20,"2","Pdrg1"
"Tmem106c",8.90408561920661e-25,0.315338228873999,0.342,0.207,1.32670875726178e-20,"2","Tmem106c"
"Cdh1",1.30121006705389e-24,0.313011219533041,0.258,0.135,1.93880299991029e-20,"2","Cdh1"
"Hibadh",1.34672217831741e-24,0.31786137531871,0.503,0.357,2.00661604569294e-20,"2","Hibadh"
"Atp6v1f1",1.71301503258202e-24,0.265864104264195,0.782,0.656,2.55239239854721e-20,"2","Atp6v1f"
"Lgmn",2.32435890149201e-24,0.330710582590077,0.316,0.183,3.46329476322309e-20,"2","Lgmn"
"Pddc1",2.71572435960185e-24,0.296796167289161,0.274,0.148,4.04642929580675e-20,"2","Pddc1"
"Snx15",2.86369689558298e-24,0.279566937556015,0.26,0.136,4.26690837441864e-20,"2","Snx15"
"Cox17",3.17463163701287e-24,0.347149535131492,0.419,0.277,4.73020113914918e-20,"2","Cox17"
"Rac1",5.61936906044373e-24,0.310769975852058,0.704,0.59,8.37285990006116e-20,"2","Rac1"
"Akap9",5.81536526457019e-24,0.310751676931732,0.422,0.279,8.66489424420959e-20,"2","Akap9"
"Taz",8.53419592396357e-24,0.311044468199053,0.269,0.145,1.27159519267057e-19,"2","Taz"
"Gm100931",8.69620650664647e-24,0.319571065587909,0.471,0.332,1.29573476949032e-19,"2","Gm10093"
"Fam213b",9.05023778533112e-24,0.269756348900781,0.337,0.199,1.34848543001434e-19,"2","Fam213b"
"Otub1",1.04874116775556e-23,0.320370338469223,0.51,0.368,1.56262433995578e-19,"2","Otub1"
"Cmtm6",1.24305666802308e-23,0.28055283619938,0.286,0.158,1.85215443535438e-19,"2","Cmtm6"
"Syne41",1.26014842952014e-23,0.278528211490069,0.347,0.204,1.877621159985e-19,"2","Syne4"
"Smarcd2",1.57140497036067e-23,0.325493697956342,0.335,0.204,2.34139340583739e-19,"2","Smarcd2"
"Dguok",4.23555613994431e-23,0.299292845144011,0.399,0.258,6.31097864851702e-19,"2","Dguok"
"Mvb12a",4.92634027699516e-23,0.323007649734369,0.418,0.284,7.34024701272278e-19,"2","Mvb12a"
"Tor2a",7.08564808934682e-23,0.290234596891393,0.288,0.164,1.05576156531268e-18,"2","Tor2a"
"Gnpnat11",7.78936594130658e-23,0.303428248981178,0.333,0.204,1.16061552525468e-18,"2","Gnpnat1"
"Tsg101",1.09288748511814e-22,0.304523148911838,0.481,0.346,1.62840235282603e-18,"2","Tsg101"
"Aff4",1.14714231803772e-22,0.301796300106006,0.273,0.15,1.7092420538762e-18,"2","Aff4"
"Cyba",1.51982315992608e-22,0.265123285783737,0.647,0.493,2.26453650828987e-18,"2","Cyba"
"Sdhaf4",1.62030591829145e-22,0.290968252918835,0.312,0.185,2.41425581825426e-18,"2","Sdhaf4"
"Man1a",2.32397603718863e-22,0.340719712043167,0.262,0.139,3.46272429541105e-18,"2","Man1a"
"Nudt2",2.73046276734334e-22,0.301656606701821,0.266,0.149,4.06838952334158e-18,"2","Nudt2"
"BC029214",3.54297929493443e-22,0.267436439855753,0.259,0.139,5.2790391494523e-18,"2","BC029214"
"Cox14",3.93096469993197e-22,0.287185565788004,0.559,0.426,5.85713740289864e-18,"2","Cox14"
"Golgb1",3.9651214015606e-22,0.287890018824573,0.365,0.231,5.9080308883253e-18,"2","Golgb1"
"Clca3a21",7.08915400429214e-22,0.936575720656169,0.404,0.294,1.05628394663953e-17,"2","Clca3a2"
"Gdi1",7.22544815890675e-22,0.299454321740708,0.274,0.153,1.07659177567711e-17,"2","Gdi1"
"Hint2",1.67795196361113e-21,0.270508342471232,0.525,0.388,2.50014842578059e-17,"2","Hint2"
"Pgrmc1",1.91394118287151e-21,0.297430768211359,0.593,0.463,2.85177236247854e-17,"2","Pgrmc1"
"Hes6",2.00235611604929e-21,0.274095268247581,0.253,0.139,2.98351061291344e-17,"2","Hes6"
"Coa3",3.17314118690388e-21,0.303036495346559,0.591,0.459,4.72798036848678e-17,"2","Coa3"
"Slc35a1",4.26843020742806e-21,0.310008354366526,0.353,0.228,6.35996100906781e-17,"2","Slc35a1"
"Epn1",4.42801884404061e-21,0.288068189237305,0.276,0.16,6.5977480776205e-17,"2","Epn1"
"Atox11",4.49726491319917e-21,0.290872257664637,0.675,0.516,6.70092472066676e-17,"2","Atox1"
"Cirbp",5.48398609257738e-21,0.290924684219462,0.727,0.639,8.1711392779403e-17,"2","Cirbp"
"Yipf1",7.51779761084592e-21,0.27576597904393,0.312,0.189,1.12015184401604e-16,"2","Yipf1"
"1810037I17Rik1",8.10370142310579e-21,0.261070402591301,0.652,0.528,1.20745151204276e-16,"2","1810037I17Rik"
"St141",8.92578280500733e-21,0.259279325595698,0.312,0.189,1.32994163794609e-16,"2","St14"
"Kcnk1",1.01814174893301e-20,0.299317251781698,0.549,0.417,1.51703120591019e-16,"2","Kcnk1"
"Pon2",1.06907926361115e-20,0.28787433680274,0.352,0.227,1.59292810278061e-16,"2","Pon2"
"S100a13",1.18219224631931e-20,0.292209526133174,0.351,0.221,1.76146644701577e-16,"2","S100a13"
"Wdr61",1.24075946909106e-20,0.267839953273451,0.53,0.398,1.84873160894568e-16,"2","Wdr61"
"Chp1",1.34013649635749e-20,0.283168328666776,0.318,0.195,1.99680337957266e-16,"2","Chp1"
"Ptbp3",1.37038191429646e-20,0.262561956302726,0.286,0.167,2.04186905230173e-16,"2","Ptbp3"
"Gclm1",1.50293713389081e-20,0.303454036643444,0.551,0.415,2.23937632949731e-16,"2","Gclm"
"Tspan4",2.45118636003656e-20,0.272619606439561,0.317,0.191,3.65226767645448e-16,"2","Tspan4"
"Polr2g",2.71350497104883e-20,0.287428999351049,0.558,0.431,4.04312240686275e-16,"2","Polr2g"
"Ndufa6",2.74111912717474e-20,0.269579824769097,0.754,0.652,4.08426749949036e-16,"2","Ndufa6"
"Nans",2.95522797318403e-20,0.30975489542363,0.396,0.273,4.40328968004421e-16,"2","Nans"
"Slc25a39",3.27525843629696e-20,0.309015088544886,0.371,0.25,4.88013507008247e-16,"2","Slc25a39"
"Glrx21",3.50479888848861e-20,0.296738201201273,0.435,0.312,5.22215034384803e-16,"2","Glrx2"
"Elf1",4.03327711760675e-20,0.277297423197902,0.261,0.149,6.00958290523406e-16,"2","Elf1"
"Ostf1",4.45750619970389e-20,0.281301958336348,0.502,0.37,6.6416842375588e-16,"2","Ostf1"
"Abhd16a",5.09783503463379e-20,0.289889944385199,0.382,0.254,7.59577420160435e-16,"2","Abhd16a"
"Bloc1s2",5.88853663759454e-20,0.282867674767734,0.353,0.233,8.77391959001586e-16,"2","Bloc1s2"
"Krtcap3",1.09809900921279e-19,0.28561918374752,0.395,0.266,1.63616752372705e-15,"2","Krtcap3"
"Pdia61",1.33924281350458e-19,0.280401555767168,0.812,0.709,1.99547179212182e-15,"2","Pdia6"
"Txndc12",2.55979050841141e-19,0.307880012909773,0.327,0.212,3.81408785753301e-15,"2","Txndc12"
"H2-Q4",3.21449779562148e-19,0.283648379262886,0.303,0.185,4.78960171547601e-15,"2","H2-Q4"
"Sdhd1",3.6126098471377e-19,0.280961293561748,0.61,0.484,5.38278867223518e-15,"2","Sdhd"
"Pafah1b3",6.75872339068431e-19,0.266860344699941,0.458,0.332,1.00704978521196e-14,"2","Pafah1b3"
"Ndufv3",7.20585465338061e-19,0.294545096301107,0.448,0.328,1.07367234335371e-14,"2","Ndufv3"
"Commd6",8.096002308883e-19,0.265385815203091,0.395,0.272,1.20630434402357e-14,"2","Commd6"
"Ccs",8.21226028525254e-19,0.293440252468684,0.365,0.249,1.22362678250263e-14,"2","Ccs"
"Smim20",1.43566021585244e-18,0.288036033494781,0.309,0.198,2.13913372162014e-14,"2","Smim20"
"Dynlt3",1.46652766420105e-18,0.27133105576646,0.415,0.291,2.18512621965957e-14,"2","Dynlt3"
"Atp6ap1",2.07393148851113e-18,0.288871641699832,0.426,0.304,3.09015791788158e-14,"2","Atp6ap1"
"Arl6ip5",2.18202588603288e-18,0.268642426370288,0.589,0.457,3.25121857018899e-14,"2","Arl6ip5"
"Derl2",2.25586924324876e-18,0.295062648631144,0.367,0.254,3.36124517244066e-14,"2","Derl2"
"Nrip1",2.29311501503833e-18,0.35875062920284,0.336,0.219,3.41674137240712e-14,"2","Nrip1"
"Nudt141",2.46425727956156e-18,0.288277801014469,0.334,0.219,3.67174334654673e-14,"2","Nudt14"
"Mrps33",2.87551899703616e-18,0.26395369034462,0.529,0.41,4.28452330558388e-14,"2","Mrps33"
"Mrpl40",3.16264956171805e-18,0.269281082766965,0.3,0.19,4.7123478469599e-14,"2","Mrpl40"
"Neat11",3.20368007057477e-18,0.462324928281756,0.735,0.681,4.7734833051564e-14,"2","Neat1"
"Stap21",3.47618263560583e-18,0.269660138196999,0.33,0.212,5.17951212705268e-14,"2","Stap2"
"Commd31",5.28390631074865e-18,0.279349856536996,0.594,0.473,7.87302040301549e-14,"2","Commd3"
"Ndufs51",8.31626835540152e-18,0.257229757249162,0.571,0.45,1.23912398495483e-13,"2","Ndufs5"
"Mrpl38",8.34662672833611e-18,0.273298976834076,0.382,0.267,1.24364738252208e-13,"2","Mrpl38"
"Pvrl2",9.42891363788731e-18,0.279306469251248,0.389,0.267,1.40490813204521e-13,"2","Pvrl2"
"Cyb5r31",1.09809857165335e-17,0.253733260219206,0.579,0.462,1.63616687176349e-13,"2","Cyb5r3"
"Med28",1.18414640715742e-17,0.262030102209316,0.649,0.54,1.76437814666455e-13,"2","Med28"
"Chmp1a",1.28080166998999e-17,0.254318247913182,0.387,0.268,1.90839448828509e-13,"2","Chmp1a"
"G3bp21",1.47904051875365e-17,0.265566938435111,0.5,0.38,2.20377037294294e-13,"2","G3bp2"
"Acadvl",2.47291635577359e-17,0.262181571391732,0.497,0.375,3.68464537010265e-13,"2","Acadvl"
"Idnk",2.68625382250639e-17,0.265610244364208,0.34,0.226,4.00251819553452e-13,"2","Idnk"
