"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"BCL7A2",1.67094847863211e-34,0.522604935999118,0.47,0.068,3.0645195098113e-30,"12","BCL7A"
"SEC11C1",3.0477517279682e-34,0.813117291741348,0.864,0.232,5.58957666909367e-30,"12","SEC11C"
"SPNS3",1.34742325859713e-33,0.604863356177368,0.5,0.083,2.47117425626713e-29,"12","SPNS3"
"FCHSD2",1.44831813257365e-33,0.485171733677154,0.439,0.063,2.65621545514007e-29,"12","FCHSD2"
"PARK73",3.15013323398693e-33,1.09116783325667,0.985,0.563,5.77734435113203e-29,"12","PARK7"
"SNCA1",4.12945923612629e-33,0.405004160859499,0.333,0.038,7.57342823905562e-29,"12","SNCA"
"NEK8",4.52332349184467e-33,0.403934533733517,0.303,0.032,8.29577528404312e-29,"12","NEK8"
"MANF1",6.90537920880204e-33,0.765395302980059,0.773,0.192,1.26644654689429e-28,"12","MANF"
"CYBA8",7.94218545626301e-33,0.959989545232356,1,0.93,1.45659681267864e-28,"12","CYBA"
"RABGAP1L2",9.27423725265843e-33,0.603423244367033,0.682,0.141,1.70089511213756e-28,"12","RABGAP1L"
"UCP25",1.44114728279611e-32,1.03348381930664,1,0.635,2.64306411664806e-28,"12","UCP2"
"FCER1G12",1.46526795218734e-32,1.17809056647069,1,0.449,2.68730142431158e-28,"12","FCER1G"
"LAIR11",2.43455635123051e-32,0.612403968974267,0.712,0.154,4.46497634815675e-28,"12","LAIR1"
"PARP10",2.57131597911046e-32,0.660158917406649,0.621,0.122,4.71579350568858e-28,"12","PARP10"
"GGA22",3.68264629022366e-32,0.573774571692113,0.636,0.126,6.7539732962702e-28,"12","GGA2"
"MIIP1",3.95451389194766e-32,0.53585690603961,0.591,0.109,7.25257847783201e-28,"12","MIIP"
"SNX9",4.38868609315874e-32,0.404964329888691,0.424,0.06,8.04885029485314e-28,"12","SNX9"
"ALCAM1",5.59966756329442e-32,0.285977895485258,0.288,0.03,1.0269790311082e-27,"12","ALCAM"
"MAP2K6",6.96359956296841e-32,0.348660212671917,0.333,0.039,1.27712415984841e-27,"12","MAP2K6"
"PPM1K2",7.96883916022837e-32,0.766632295438978,0.818,0.211,1.46148510198588e-27,"12","PPM1K"
"PHB",8.11487370950278e-32,0.952450365975817,0.833,0.258,1.48826783832281e-27,"12","PHB"
"FABP51",1.02399490196683e-31,0.589416352345941,0.606,0.119,1.87800665020716e-27,"12","FABP5"
"PARVB1",1.02482912139805e-31,0.494074615124963,0.545,0.097,1.87953660864403e-27,"12","PARVB"
"REPIN1",1.2266299382064e-31,0.655695557387533,0.667,0.143,2.24963930667053e-27,"12","REPIN1"
"TM9SF2",1.67673002535547e-31,0.725964085742862,0.742,0.184,3.07512286650193e-27,"12","TM9SF2"
"SULF21",2.42915201488466e-31,0.556439331824343,0.485,0.082,4.45506479529846e-27,"12","SULF2"
"LRRK1",2.78085965960358e-31,0.274513939085389,0.273,0.028,5.10009661571296e-27,"12","LRRK1"
"GPX111",3.47358304443959e-31,1.10871662691843,1,0.599,6.3705513035022e-27,"12","GPX1"
"MLEC",3.87198906519095e-31,0.638373167176836,0.591,0.118,7.1012279455602e-27,"12","MLEC"
"SSR41",5.39356144332437e-31,1.00156107516369,0.985,0.704,9.8917916870569e-27,"12","SSR4"
"RPPH11",1.2520022754157e-30,0.782373285146671,0.439,0.071,2.29617217311239e-26,"12","RPPH1"
"CDKN2D2",1.37773763152917e-30,0.886060418159881,0.848,0.254,2.52677081622449e-26,"12","CDKN2D"
"TMEM1092",1.56936409377453e-30,0.767799960199054,0.788,0.209,2.87821374798249e-26,"12","TMEM109"
"MAN1A1",1.66933683826877e-30,0.268314627455162,0.303,0.034,3.06156376138493e-26,"12","MAN1A1"
