"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tubg11",1.2510811710804e-30,0.520024655263633,0.459,0.099,1.75476645055737e-26,"8","Tubg1"
"Ddt2",5.55694915762993e-30,0.524309803418714,0.649,0.183,7.79417688849174e-26,"8","Ddt"
"Fam25c2",5.85677282364717e-30,0.471268526085082,0.586,0.146,8.21470956244752e-26,"8","Fam25c"
"Cisd31",9.82616778345539e-30,0.411741171703135,0.468,0.101,1.37821829330745e-25,"8","Cisd3"
"Cldn48",3.37547496516921e-29,0.957405251102404,0.901,0.412,4.73444118614633e-25,"8","Cldn4"
"Fen11",4.07459059004524e-29,0.364151488593789,0.36,0.065,5.71502076159746e-25,"8","Fen1"
"Cldn108",4.21356770371879e-29,0.641023402955631,0.865,0.306,5.90995006123597e-25,"8","Cldn10"
"Hmgn16",5.59251253913041e-29,0.569941338657858,0.991,0.873,7.84405808738432e-25,"8","Hmgn1"
"Nudt1",6.8555236375559e-29,0.285824842058482,0.351,0.062,9.61555745403591e-25,"8","Nudt1"
"Slc25a52",1.17202750244828e-28,0.596130600859689,1,0.927,1.64388577493395e-24,"8","Slc25a5"
"Bpgm",1.25047744094418e-28,0.257260986299435,0.468,0.098,1.75391965866831e-24,"8","Bpgm"
"Piezo2",1.27435726477747e-28,0.306711135213874,0.27,0.037,1.78741349957688e-24,"8","Piezo2"
"Agps",1.28177620371448e-28,0.389037896537187,0.378,0.071,1.79781930332993e-24,"8","Agps"
"Sult2b12",1.61036768269924e-28,0.427182524195995,0.486,0.11,2.25870171175395e-24,"8","Sult2b1"
"Grhpr4",1.72480975526662e-28,0.472805583749072,0.766,0.233,2.41921816273696e-24,"8","Grhpr"
"Cpsf3l1",4.25711430122254e-28,0.547036382225055,0.631,0.179,5.97102851889473e-24,"8","Cpsf3l"
"Ecscr1",4.71942388604676e-28,0.457920964197459,0.505,0.118,6.61946394256919e-24,"8","Ecscr"
"Ssna12",5.07973343687577e-28,0.551497810747549,0.739,0.24,7.12483411856195e-24,"8","Ssna1"
"H2-T221",7.51755288338984e-28,0.486620561570549,0.514,0.124,1.05441196742426e-23,"8","H2-T22"
"Paox",1.28693348805955e-27,0.275386806904241,0.27,0.039,1.80505291035232e-23,"8","Paox"
"Aldh3b2",1.35642914192708e-27,0.281916669166817,0.279,0.041,1.90252751446693e-23,"8","Aldh3b2"
"Ranbp11",3.6113181426158e-27,0.907449413015854,0.955,0.616,5.06523482683293e-23,"8","Ranbp1"
"Hn1l",9.59069944565028e-27,0.295637958126857,0.333,0.06,1.34519150424691e-22,"8","Hn1l"
"Nup37",1.06040736789007e-26,0.332159492585552,0.405,0.084,1.48732737420261e-22,"8","Nup37"
"Rab151",1.13728212354114e-26,0.311281145206015,0.505,0.117,1.5951519064788e-22,"8","Rab15"
"Mboat13",1.14205788644888e-26,0.401566818142738,0.577,0.152,1.6018503915332e-22,"8","Mboat1"
"Rell1",1.27517442410563e-26,0.347807262327439,0.514,0.122,1.78855964725056e-22,"8","Rell1"
"Crb37",1.4186861401022e-26,0.472734288984855,0.703,0.217,1.98984918010734e-22,"8","Crb3"
"Rrm11",2.259417231654e-26,0.389799355179828,0.36,0.07,3.1690586091179e-22,"8","Rrm1"
"Coa35",2.33137104841899e-26,0.678956442234711,0.91,0.419,3.26998103251247e-22,"8","Coa3"
"Tubb57",2.73399178103121e-26,0.991833987471794,0.946,0.633,3.83469687207437e-22,"8","Tubb5"
"Batf",2.94330010209827e-26,0.261125139752921,0.387,0.077,4.12827272320304e-22,"8","Batf"
"H2-K17",3.19422578073696e-26,0.763768737726304,0.991,0.804,4.48022108006166e-22,"8","H2-K1"
"Snrpa11",4.10405874382218e-26,0.681216496882529,0.721,0.263,5.75635279408499e-22,"8","Snrpa1"
"Anapc151",4.99937390641904e-26,0.352722740038378,0.387,0.079,7.01212184114334e-22,"8","Anapc15"
"Got11",5.19169762031401e-26,0.46345585665297,0.532,0.141,7.28187508225244e-22,"8","Got1"
"Calm31",6.01314469873691e-26,0.67237325030887,0.901,0.481,8.43403675444839e-22,"8","Calm3"
"Miip",7.68038097157105e-26,0.283656537643355,0.261,0.039,1.07725023507256e-21,"8","Miip"
"Sae11",1.78654801206117e-25,0.53379819675386,0.703,0.236,2.50581224171699e-21,"8","Sae1"
"Fuom",1.80309391997852e-25,0.353515658900828,0.55,0.141,2.52901953216187e-21,"8","Fuom"
"Cib15",2.54285372555722e-25,0.464635778784981,0.739,0.245,3.56660663546656e-21,"8","Cib1"
"Crip15",2.73785125605579e-25,0.309364271713745,0.775,0.268,3.84011017174385e-21,"8","Crip1"
"Gfpt2",4.36249905046045e-25,0.26396037143044,0.351,0.068,6.11884116817583e-21,"8","Gfpt2"
"Ppp1ca5",5.89499200140347e-25,0.617053634030029,0.946,0.68,8.2683157811685e-21,"8","Ppp1ca"
"Acot7",9.47220287726534e-25,0.334814836351603,0.441,0.102,1.32857117556524e-20,"8","Acot7"
"Ppih",1.22711511611135e-24,0.42917307495763,0.505,0.132,1.72115166185778e-20,"8","Ppih"
"Haus4",1.30732340127448e-24,0.302393582287449,0.333,0.064,1.83365180262759e-20,"8","Haus4"
"Zbtb8os",1.36332511239333e-24,0.318111111434047,0.514,0.13,1.91219980264289e-20,"8","Zbtb8os"
"Txn12",1.42972728401629e-24,0.647105294821734,0.955,0.567,2.00533548856125e-20,"8","Txn1"
"Umps",1.62572441581973e-24,0.327369453372024,0.396,0.086,2.28024106562875e-20,"8","Umps"
"Cox5a7",2.83418463221746e-24,0.705707833670737,0.937,0.625,3.97522736514821e-20,"8","Cox5a"
"Ccnd12",3.64178407302066e-24,0.617862883246362,0.568,0.175,5.10796634081878e-20,"8","Ccnd1"
"Rab3ip6",4.00840271729838e-24,0.477828377049193,0.73,0.248,5.62218565128271e-20,"8","Rab3ip"
"Gcat1",5.59868614009939e-24,0.257013002763709,0.306,0.056,7.8527171801034e-20,"8","Gcat"
"B9d1",5.94997081494155e-24,0.409056905952158,0.568,0.158,8.34542906503702e-20,"8","B9d1"
"Mrpl49",5.95135928918556e-24,0.425488416715141,0.55,0.153,8.34737653901167e-20,"8","Mrpl49"
"Nmi",7.32074170546573e-24,0.339077440858601,0.477,0.119,1.02680723160862e-19,"8","Nmi"
"Sfxn1",7.71781773965815e-24,0.38446878002727,0.631,0.187,1.08250111616445e-19,"8","Sfxn1"
"Erh2",8.42349445858066e-24,0.599218049459993,0.973,0.734,1.18147933276052e-19,"8","Erh"
"Mrpl282",1.06746854924791e-23,0.618657031722134,0.856,0.404,1.49723138717512e-19,"8","Mrpl28"
