"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mapk132",4.66078688730388e-06,0.262227742248281,0.383,0.287,0.0645565591760461,"2","Mapk13"
"Zfp6641",4.9003038595093e-06,0.30036840459161,0.307,0.217,0.0678741087580633,"2","Zfp664"
"Rnf52",5.01812091553614e-06,0.304267748309298,0.41,0.329,0.0695059928010911,"2","Rnf5"
"Arpc5l",5.22179152705566e-06,0.281377921763382,0.485,0.416,0.0723270344412479,"2","Arpc5l"
"Pck2",5.97103190891283e-06,0.348509617619436,0.283,0.196,0.0827047629703516,"2","Pck2"
"Tead22",6.30543298737436e-06,0.288766950901635,0.352,0.262,0.0873365523081222,"2","Tead2"
"Pgrmc1",6.43948667829536e-06,0.317633462549696,0.506,0.442,0.0891933299810691,"2","Pgrmc1"
"Fam213b",7.09360210820393e-06,0.25251062079113,0.28,0.193,0.0982534828007326,"2","Fam213b"
"Acot8",7.61498648442995e-06,0.264959309939895,0.262,0.176,0.105475177795839,"2","Acot8"
"Tst2",7.92628426479753e-06,0.265474667179001,0.413,0.323,0.109786963351711,"2","Tst"
"Atp6ap1",8.19578950313219e-06,0.327117808229235,0.407,0.326,0.113519880407884,"2","Atp6ap1"
"Faap20",1.18049118320299e-05,0.272179529961361,0.322,0.239,0.163509833785446,"2","Faap20"
"Ndel11",1.41477952246111e-05,0.263699929963571,0.428,0.34,0.195961111656089,"2","Ndel1"
"Cyb5r3",1.72712968760893e-05,0.277736311263145,0.509,0.449,0.239224733030713,"2","Cyb5r3"
"Grhpr1",1.78702958448455e-05,0.250463251809002,0.325,0.241,0.247521467746955,"2","Grhpr"
"Mad2l21",1.8535608461576e-05,0.297813982369907,0.253,0.172,0.25673671280129,"2","Mad2l2"
"Mrps34",2.14718082808767e-05,0.26437273132378,0.458,0.389,0.297406016498423,"2","Mrps34"
"Slc25a39",2.36469155413994e-05,0.298620200845078,0.367,0.296,0.327533427163923,"2","Slc25a39"
"Ap3s1",2.40546665367557e-05,0.274063525795447,0.304,0.222,0.333181186200603,"2","Ap3s1"
"Bphl",3.23266076978479e-05,0.319428499531605,0.364,0.291,0.447755843222891,"2","Bphl"
"Bnip3l",4.42982948090175e-05,0.27632831386263,0.539,0.499,0.613575681399701,"2","Bnip3l"
"Mrpl33",4.4379054049293e-05,0.276075801429675,0.47,0.414,0.614694277636757,"2","Mrpl33"
"Psmd3",6.30144561431781e-05,0.262395899654373,0.422,0.354,0.87281323203916,"2","Psmd3"
"Mrpl57",7.61604679137937e-05,0.262999546730745,0.428,0.364,1,"2","Mrpl57"
"Rdm1",8.04835962085409e-05,0.251878545693517,0.268,0.192,1,"2","Rdm1"
"Tm9sf3",8.3709788082744e-05,0.342881707112308,0.422,0.374,1,"2","Tm9sf3"
"Slc35a1",0.000101586959632868,0.266437721857528,0.31,0.239,1,"2","Slc35a1"
"Usp50",0.000119307917396667,0.264289898818268,0.38,0.318,1,"2","Usp50"
"Lgmn",0.00013155971621649,0.306175195873069,0.262,0.195,1,"2","Lgmn"
"Zfand1",0.000141529634486821,0.251424323511989,0.286,0.216,1,"2","Zfand1"
"Prdx31",0.000153656094818707,0.255194545368407,0.37,0.308,1,"2","Prdx3"
"Ccdc12",0.000154137053938485,0.267392588400707,0.443,0.386,1,"2","Ccdc12"
"Gm100931",0.000217892138559539,0.263889480222573,0.443,0.393,1,"2","Gm10093"
"Dcaf8",0.00023023341691082,0.251089395161064,0.265,0.195,1,"2","Dcaf8"
"Churc1",0.000238584884837842,0.256962393055312,0.383,0.323,1,"2","Churc1"
"Ndufa3",0.000276422138623832,0.252259027859514,0.467,0.421,1,"2","Ndufa3"
"Rab11a",0.000611355562944295,0.260052691892754,0.443,0.4,1,"2","Rab11a"
"2310039H08Rik",0.00103157734044758,0.278340362461483,0.286,0.225,1,"2","2310039H08Rik"
"Aurkaip1",0.00232039099912413,0.25376885771047,0.37,0.328,1,"2","Aurkaip1"
"Hibadh",0.00274776434223464,0.258217698160064,0.425,0.388,1,"2","Hibadh"
"Fam220a",0.00403693639057792,0.304489272266944,0.334,0.294,1,"2","Fam220a"
"Wfdc183",8.43209113464321e-169,2.22371346561865,0.893,0.178,1.16792894305943e-164,"3","Wfdc18"
"Rspo1",4.42980632812595e-149,1.03824924111463,0.493,0.032,6.13572474508725e-145,"3","Rspo1"
